iter	Passed	Remaining
233	754	2469
234	757	2466
235	760	2462
236	764	2460
237	766	2455
238	770	2452
239	773	2449
240	776	2445
241	779	2442
242	782	2437
243	787	2438
244	790	2434
245	793	2431
246	796	2427
247	799	2422
248	803	2424
249	808	2424
250	811	2421
251	815	2419
252	818	2415
253	821	2412
254	824	2410
255	828	2408
256	832	2407
257	835	2404
258	839	2401
259	842	2397
260	846	2397
261	850	2395
262	853	2393
263	857	2391
264	861	2389
265	864	2385
266	868	2384
267	871	2381
268	875	2378
269	879	2376
270	882	2374
271	886	2371
272	890	2370
273	893	2367
274	897	2365
275	900	2363
276	904	2360
277	907	2357
278	910	2352
279	913	2349
280	916	2344
281	919	2340
282	922	2336
283	925	2332
284	927	2327
285	930	2324
286	933	2319
287	937	2316
288	939	2312
289	942	2308
290	945	2304
291	948	2300
292	951	2296
293	955	2293
294	958	2289
295	961	2287
296	964	2283
297	968	2281
298	971	2278
299	975	2275
300	978	2271
301	981	2268
302	984	2264
303	987	2261
304	990	2258
305	994	2254
306	997	2251
307	1000	2248
308	1003	2244
309	1006	2241
310	1009	2236
311	1012	2233
312	1016	2230
313	1019	2227
314	1022	2223
315	1025	2219
316	1029	2217
317	1031	2213
318	1035	2210
319	1038	2206
320	1041	2203
321	1044	2199
322	1048	2197
323	1051	2193
324	1054	2189
325	1057	2186
326	1075	2213
327	1078	2210
328	1082	2207
329	1085	2203
330	1088	2199
331	1091	2195
332	1094	2192
333	1097	2188
334	1100	2185
335	1103	2181
336	1107	2178
337	1111	2176
338	1113	2171
339	1117	2168
340	1120	2165
341	1123	2161
342	1126	2157
343	1129	2154
344	1133	2151
345	1136	2147
346	1139	2144
347	1142	2141
348	1146	2138
349	1149	2135
350	1153	2132
351	1157	2130
352	1160	2127
353	1164	2124
354	1167	2121
355	1170	2118
356	1174	2115
357	1178	2112
358	1195	2134
359	1198	2131
360	1202	2128
361	1206	2126
362	1210	2124
363	1214	2121
364	1218	2119
365	1221	2115
366	1225	2114
367	1238	2127
368	1241	2123
369	1244	2119
370	1247	2115
371	1250	2111
372	1254	2107
373	1257	2104
374	1260	2100
375	1263	2096
376	1266	2092
377	1269	2088
378	1272	2084
379	1275	2080
380	1277	2076
381	1281	2072
382	1283	2068
383	1287	2065
384	1290	2062
385	1293	2057
386	1296	2053
387	1299	2049
388	1302	2045
389	1305	2041
390	1308	2038
391	1311	2034
392	1314	2030
393	1317	2026
394	1320	2022
395	1323	2018
396	1326	2014
397	1329	2011
398	1332	2007
399	1335	2003
400	1339	2000
401	1342	1996
402	1345	1993
403	1348	1988
404	1351	1985
405	1354	1981
406	1357	1978
407	1360	1974
408	1363	1970
409	1366	1967
410	1369	1963
411	1373	1960
412	1376	1956
413	1380	1953
414	1383	1950
415	1387	1947
416	1390	1944
417	1393	1940
418	1397	1937
419	1400	1933
420	1403	1930
421	1406	1926
422	1409	1922
423	1412	1918
424	1415	1914
425	1418	1910
426	1421	1907
427	1424	1903
428	1427	1900
429	1430	1896
430	1434	1893
431	1438	1890
432	1441	1887
433	1445	1884
434	1448	1881
435	1452	1878
436	1455	1875
437	1458	1871
438	1462	1868
439	1465	1865
440	1469	1862
441	1473	1860
442	1477	1857
443	1481	1854
444	1484	1851
445	1488	1848
446	1491	1845
447	1495	1842
448	1498	1839
449	1503	1837
450	1506	1834
451	1510	1831
452	1514	1828
453	1517	1824
454	1520	1821
455	1524	1819
456	1528	1815
457	1532	1813
458	1536	1810
459	1539	1807
460	1542	1803
461	1546	1801
462	1550	1797
463	1553	1795
464	1556	1791
465	1560	1787
466	1562	1783
467	1565	1780
468	1568	1776
469	1572	1772
470	1574	1768
471	1578	1765
472	1582	1762
473	1585	1759
474	1588	1755
475	1590	1751
476	1594	1748
477	1597	1744
478	1600	1740
479	1602	1736
480	1606	1732
481	1608	1728
482	1611	1725
483	1614	1721
484	1617	1717
485	1620	1713
486	1623	1709
487	1626	1706
488	1630	1704
489	1633	1700
490	1636	1696
491	1640	1693
492	1643	1690
493	1646	1686
494	1649	1683
495	1653	1679
496	1656	1676
497	1659	1672
498	1662	1669
499	1665	1665
500	1669	1662
501	1672	1659
502	1676	1656
503	1679	1652
504	1682	1649
505	1685	1645
506	1688	1641
507	1691	1638
508	1695	1635
509	1698	1631
510	1700	1627
511	1704	1624
512	1706	1620
513	1710	1616
514	1712	1612
515	1716	1609
516	1719	1606
517	1722	1602
518	1724	1598
519	1728	1595
520	1731	1591
521	1734	1588
522	1738	1585
523	1741	1582
524	1745	1578
525	1748	1575
526	1751	1572
527	1754	1568
528	1758	1565
529	1761	1562
530	1765	1558
531	1768	1556
532	1772	1553
533	1776	1550
534	1781	1548
535	1784	1544
536	1787	1541
537	1791	1538
538	1795	1535
539	1799	1532
540	1802	1529
541	1806	1526
542	1809	1522
543	1812	1519
544	1816	1516
545	1820	1513
546	1823	1509
547	1827	1507
548	1830	1503
549	1834	1500
550	1838	1497
551	1841	1494
552	1845	1491
553	1848	1488
554	1852	1485
555	1855	1482
556	1858	1478
557	1862	1474
558	1864	1471
559	1868	1468
560	1871	1464
561	1875	1461
562	1878	1458
563	1881	1454
564	1884	1450
565	1887	1447
566	1890	1443
567	1893	1440
568	1896	1436
569	1899	1432
570	1902	1429
571	1904	1425
572	1907	1421
573	1910	1417
574	1913	1414
575	1916	1410
576	1919	1407
577	1922	1403
578	1925	1399
579	1928	1396
580	1931	1392
581	1934	1389
582	1937	1385
583	1939	1381
584	1942	1378
585	1945	1374
586	1948	1371
587	1951	1367
588	1954	1363
589	1957	1360
590	1960	1356
591	1963	1353
592	1967	1350
593	1970	1346
594	1973	1343
595	1977	1340
596	1980	1336
597	1985	1334
598	1988	1331
599	1991	1327
600	1995	1324
601	1997	1320
602	2001	1317
603	2003	1313
604	2007	1310
605	2010	1307
606	2013	1303
607	2016	1300
608	2020	1297
609	2024	1294
610	2027	1290
611	2030	1287
612	2033	1283
613	2037	1280
614	2040	1277
615	2043	1273
616	2046	1270
617	2049	1267
618	2053	1263
619	2056	1260
620	2059	1257
621	2063	1254
622	2066	1250
623	2070	1247
624	2073	1243
625	2077	1240
626	2080	1237
627	2084	1234
628	2088	1231
629	2092	1229
630	2096	1225
631	2100	1222
632	2103	1219
633	2106	1216
634	2109	1212
635	2112	1209
636	2115	1205
637	2118	1202
638	2121	1198
639	2124	1195
640	2127	1191
641	2130	1188
642	2133	1184
643	2136	1180
644	2139	1177
645	2142	1174
646	2145	1170
647	2148	1166
648	2151	1163
649	2154	1159
650	2157	1156
651	2160	1153
652	2163	1149
653	2166	1146
654	2169	1142
655	2172	1139
656	2175	1135
657	2178	1132
658	2181	1128
659	2184	1125
660	2187	1121
661	2189	1118
662	2192	1114
663	2195	1110
664	2198	1107
665	2201	1103
666	2204	1100
667	2207	1096
668	2209	1093
669	2212	1089
670	2215	1086
671	2218	1082
672	2221	1079
673	2224	1076
674	2227	1072
675	2230	1069
676	2233	1065
677	2236	1062
678	2239	1058
679	2242	1055
680	2245	1051
681	2248	1048
682	2251	1044
683	2254	1041
684	2257	1038
685	2260	1034
686	2264	1031
687	2267	1028
688	2270	1024
689	2274	1021
690	2277	1018
691	2280	1015
692	2283	1011
693	2286	1008
694	2290	1005
695	2293	1001
696	2297	998
697	2300	995
698	2303	991
699	2306	988
700	2309	985
701	2312	981
702	2315	978
703	2318	974
704	2322	971
705	2325	968
706	2328	964
707	2331	961
708	2334	958
709	2337	954
710	2340	951
711	2344	948
712	2347	944
713	2350	941
714	2354	938
715	2357	935
716	2360	931
717	2363	928
718	2366	925
719	2369	921
720	2373	918
721	2376	915
722	2379	911
723	2382	908
724	2386	905
725	2389	901
726	2392	898
727	2397	895
728	2401	892
729	2404	889
730	2408	886
731	2411	882
732	2414	879
733	2417	876
734	2421	872
735	2424	869
736	2427	866
737	2431	863
738	2433	859
739	2437	856
740	2439	852
741	2443	849
742	2446	846
743	2450	843
744	2453	839
745	2456	836
746	2459	833
747	2462	829
748	2466	826
749	2469	823
750	2472	819
751	2476	816
752	2479	813
753	2483	810
754	2485	806
755	2489	803
756	2492	799
757	2495	796
758	2498	793
759	2502	790
760	2505	786
761	2508	783
762	2511	780
763	2514	776
764	2517	773
765	2520	769
766	2523	766
767	2525	763
768	2528	759
769	2531	756
770	2534	752
771	2537	749
772	2540	746
773	2543	742
774	2547	739
775	2550	736
776	2553	732
777	2555	729
778	2559	726
779	2561	722
780	2565	719
781	2567	715
782	2571	712
783	2574	709
784	2577	705
785	2580	702
786	2583	699
787	2586	695
788	2589	692
789	2593	689
790	2595	685
791	2598	682
792	2601	679
793	2604	675
794	2607	672
795	2610	668
796	2613	665
797	2616	662
798	2619	658
799	2622	655
800	2624	652
801	2627	648
802	2630	645
803	2634	642
804	2637	638
805	2640	635
806	2643	632
807	2647	628
808	2650	625
809	2653	622
810	2656	618
811	2659	615
812	2662	612
813	2665	609
814	2668	605
815	2671	602
816	2675	599
817	2678	595
818	2681	592
819	2684	589
820	2687	585
821	2690	582
822	2693	579
823	2697	576
824	2700	572
825	2703	569
826	2706	566
827	2709	562
828	2712	559
829	2716	556
830	2719	553
831	2722	549
832	2725	546
833	2729	543
834	2732	539
835	2734	536
836	2738	533
837	2741	529
838	2744	526
839	2748	523
840	2751	520
841	2754	516
842	2757	513
843	2760	510
844	2763	506
845	2766	503
846	2770	500
847	2773	497
848	2776	493
849	2779	490
850	2782	487
851	2786	484
852	2791	481
853	2794	477
854	2797	474
855	2800	471
856	2803	467
857	2806	464
858	2809	461
859	2812	457
860	2815	454
861	2818	451
862	2821	447
863	2824	444
864	2827	441
865	2830	438
866	2833	434
867	2836	431
868	2840	428
869	2843	424
870	2846	421
871	2849	418
872	2852	415
873	2856	411
874	2859	408
875	2862	405
876	2866	401
877	2869	398
878	2872	395
879	2875	392
880	2878	388
881	2881	385
882	2885	382
883	2888	379
884	2891	375
885	2894	372
886	2897	369
887	2901	365
888	2904	362
889	2907	359
890	2910	356
891	2913	352
892	2916	349
893	2920	346
894	2923	343
895	2927	339
896	2930	336
897	2933	333
898	2936	329
899	2939	326
900	2942	323
901	2945	320
902	2949	316
903	2952	313
904	2955	310
905	2959	307
906	2962	303
907	2965	300
908	2968	297
909	2972	293
910	2975	290
911	2978	287
912	2982	284
913	2985	280
914	2988	277
915	2992	274
916	2996	271
917	3000	268
918	3004	264
919	3008	261
920	3011	258
921	3014	255
922	3018	251
923	3021	248
924	3024	245
925	3027	241
926	3031	238
927	3034	235
928	3037	232
929	3041	228
930	3044	225
931	3047	222
932	3050	219
933	3053	215
934	3057	212
935	3060	209
936	3064	206
937	3067	202
938	3071	199
939	3074	196
940	3077	192
941	3080	189
942	3083	186
943	3086	183
944	3089	179
945	3093	176
946	3096	173
947	3099	170
948	3103	166
949	3106	163
950	3109	160
951	3112	156
952	3115	153
953	3118	150
954	3122	147
955	3125	143
956	3129	140
957	3132	137
958	3135	134
959	3138	130
960	3141	127
961	3144	124
962	3147	120
963	3151	117
964	3154	114
965	3158	111
966	3161	107
967	3164	104
968	3168	101
969	3171	98
970	3176	94
971	3180	91
972	3183	88
973	3186	85
974	3189	81
975	3192	78
976	3196	75
977	3199	71
978	3202	68
979	3205	65
980	3208	62
981	3212	58
982	3215	55
983	3218	52
984	3221	49
985	3224	45
986	3227	42
987	3231	39
988	3234	35
989	3237	32
990	3240	29
991	3244	26
992	3247	22
993	3250	19
994	3253	16
995	3256	13
996	3260	9
997	3263	6
998	3278	3
999	3282	0
