iter	Logloss
131	0.1272600928
132	0.1267369266
133	0.1263277185
134	0.1256734684
135	0.1254260121
136	0.1252152755
137	0.1246594672
138	0.1238568785
139	0.1234463934
140	0.1228381343
141	0.1223785787
142	0.1218122759
143	0.1213930669
144	0.1208011933
145	0.1204919614
146	0.1198339663
147	0.1194734962
148	0.1186294341
149	0.1183630706
150	0.1177094107
151	0.1169918291
152	0.1165681348
153	0.1160409662
154	0.11564295
155	0.1152609008
156	0.1147189563
157	0.1143159719
158	0.1138851311
159	0.1133819881
160	0.1131388454
161	0.1128307938
162	0.1121636027
163	0.1118193893
164	0.1114995127
165	0.1111908603
166	0.1109687065
167	0.1104720232
168	0.1101244941
169	0.1097756988
170	0.1094679692
171	0.1091794471
172	0.1089282458
173	0.1086843413
174	0.1085264096
175	0.1081537925
176	0.1075877687
177	0.1073301935
178	0.1071120636
179	0.1066248769
180	0.106325281
181	0.1057435477
182	0.1049332008
183	0.1046064889
184	0.1043232892
185	0.1040271056
186	0.1034978553
187	0.1031530088
188	0.1027726336
189	0.1024781132
190	0.1020599451
191	0.1016281922
192	0.1014541004
193	0.101268999
194	0.1009730944
195	0.100604952
196	0.1003377622
197	0.1000882349
198	0.09973226083
199	0.09919886851
200	0.09899239198
201	0.09861222065
202	0.0982958744
203	0.09771565412
204	0.09743288365
205	0.09706934461
206	0.09669043947
207	0.09625680872
208	0.09590967664
209	0.09581927207
210	0.09567194213
211	0.09546847015
212	0.09506386544
213	0.09474628518
214	0.09448948255
215	0.09416074257
216	0.09393975839
217	0.09355137821
218	0.09322555692
219	0.09302772919
220	0.09271542835
221	0.09257953714
222	0.09244510527
223	0.09205464338
224	0.09187855566
225	0.09147383292
226	0.09121298488
227	0.09082215815
228	0.09062166925
229	0.09014595343
230	0.08994156399
231	0.08979086467
232	0.08960938487
233	0.08925680169
234	0.08895415831
235	0.08876035452
236	0.08859546946
237	0.08814711645
238	0.08796204729
239	0.08775184728
240	0.08757188049
241	0.08739195661
242	0.08707645808
243	0.08676410358
244	0.08655710663
245	0.08629410176
246	0.0861717149
247	0.08600165774
248	0.08582363316
249	0.08547844867
250	0.08525679383
251	0.08495694575
252	0.08482529309
253	0.08447310693
254	0.08438728966
255	0.08420431832
256	0.08394436092
257	0.08350631993
258	0.08332931476
259	0.08316717134
260	0.08302840972
261	0.08289981525
262	0.08273885756
263	0.08250378959
264	0.0823468773
265	0.08201777784
266	0.08186658492
267	0.08166833333
268	0.08152864352
269	0.08127429281
270	0.08111193479
271	0.0808432964
272	0.08048580937
273	0.08031159413
274	0.08018925019
275	0.07988002901
276	0.07976195044
277	0.07965852976
278	0.07952705415
279	0.07933019753
280	0.07921626095
281	0.07893514834
282	0.07879646183
283	0.07849943051
284	0.07838133049
285	0.07822433772
286	0.07807974943
287	0.07781230749
288	0.07763527013
289	0.07751731497
290	0.07738360742
291	0.07728412483
292	0.07694060893
293	0.07671156614
294	0.07664119543
295	0.07656524487
296	0.07650936035
297	0.07632384052
298	0.07612940363
299	0.07603355869
300	0.07583208795
301	0.07558598901
302	0.07528159655
303	0.0751942931
304	0.07503821779
305	0.07494478722
306	0.07477367846
307	0.07455172854
308	0.07445367848
309	0.07428987184
310	0.07421330963
311	0.07416857412
312	0.07394012151
313	0.07352928773
314	0.07337674813
315	0.07325216151
316	0.07311294384
317	0.07301885334
318	0.07281928726
319	0.07254316971
320	0.07233278728
321	0.07218325758
322	0.07195850163
323	0.07182625879
324	0.0716452726
325	0.07145426947
326	0.07138410265
327	0.07117793731
328	0.07105846915
329	0.07095379836
330	0.07084570454
331	0.07075139407
332	0.07033453511
333	0.07017438221
334	0.07007994296
335	0.06984185435
336	0.0695377999
337	0.06942172258
338	0.06911161613
339	0.06903847696
340	0.06890114786
341	0.06878569827
342	0.06873096729
343	0.06862127462
344	0.06848806604
345	0.06833880461
346	0.0682527137
347	0.06819615317
348	0.0680091096
349	0.0678972923
350	0.06784370948
351	0.06767262755
352	0.06752289934
353	0.06718012385
354	0.06700818884
355	0.06683253035
356	0.06676401602
357	0.06651459062
358	0.06636193298
359	0.06627710828
360	0.0660272161
361	0.06593124776
362	0.06580753031
363	0.06575718275
364	0.06556033686
365	0.06544168421
366	0.06533239394
367	0.06525428117
368	0.06497058251
369	0.06492797165
370	0.06487236613
371	0.06468590201
372	0.06458682719
373	0.06452065212
374	0.06424668603
375	0.06413628515
376	0.0640052334
377	0.06391246812
378	0.06381519602
379	0.06363119992
380	0.06353732939
381	0.06337179514
382	0.06321784984
383	0.0630828278
384	0.06297042568
385	0.06290710492
386	0.06282599298
387	0.06272376875
388	0.06254773469
389	0.06245201851
390	0.06238851534
391	0.06230729609
392	0.0622316889
393	0.06207312947
394	0.06196709055
395	0.06175913858
396	0.06168239932
397	0.06150759926
398	0.06135770473
399	0.06122774749
400	0.06109385215
401	0.06089715649
402	0.06063848675
403	0.06042869986
404	0.06026467325
405	0.06005011664
406	0.05999959203
407	0.05990097861
408	0.05975652445
409	0.05957997533
410	0.05953279326
411	0.05943187816
412	0.05932090856
413	0.05927947268
414	0.05916014938
415	0.05908486411
416	0.05900732006
417	0.05896636705
418	0.05886527489
419	0.0587230795
420	0.0586529717
421	0.05854877842
422	0.05842544727
423	0.05826404427
424	0.05812903296
425	0.05797793124
426	0.05787695712
427	0.05782375523
428	0.05774471964
429	0.05767991808
430	0.05762397991
431	0.05754935456
432	0.05728439138
433	0.05711212373
434	0.057026006
435	0.05686880399
436	0.05679095948
437	0.05663576408
438	0.05654205451
439	0.05651066776
440	0.05643207749
441	0.05628795597
442	0.05620650065
443	0.05609283233
444	0.05601770801
445	0.05590369631
446	0.05577008533
447	0.05568433244
448	0.05562702077
449	0.05552848247
450	0.05537739685
451	0.05532743022
452	0.05530043225
453	0.05521878378
454	0.05514091781
455	0.05507547778
456	0.05499358787
457	0.05489679865
458	0.05487303056
459	0.05477048979
460	0.05466313101
461	0.05443405066
462	0.05433023831
463	0.05416747789
464	0.05404132462
465	0.05394759896
466	0.05385722121
467	0.05372568122
468	0.05367727588
469	0.05356348952
470	0.05342687937
471	0.05331235797
472	0.05319877013
473	0.05306281453
474	0.05292137028
475	0.05286672514
476	0.05282527317
477	0.05271316078
478	0.05266324243
479	0.05252195914
480	0.05246878945
481	0.05239167462
482	0.05230421021
483	0.05221841976
484	0.05213423352
485	0.05200397046
486	0.05192567528
487	0.05189904751
488	0.05179159215
489	0.05174806919
490	0.05162509752
491	0.05159513793
492	0.05152798638
493	0.05140480009
494	0.0513113266
495	0.05116648077
496	0.05113678408
497	0.05103857843
498	0.05089896909
499	0.05070646906
500	0.05067009262
501	0.0506301
502	0.0505327206
503	0.05040897632
504	0.05039192554
505	0.05030890893
506	0.05020766117
507	0.05003846245
508	0.04998097373
509	0.0497829904
510	0.04974029369
511	0.0496400868
512	0.04954918326
513	0.0494627919
514	0.04934659118
515	0.04929738105
516	0.04923700046
517	0.04909415587
518	0.04894386968
519	0.04880768337
520	0.04870058213
521	0.0486737934
522	0.0485819885
523	0.04846538538
524	0.04844445552
525	0.04837315663
526	0.04832578678
527	0.04822393812
528	0.04808087356
529	0.04798970712
530	0.04793289979
531	0.04782990833
532	0.04777223718
533	0.04767770137
534	0.04764575663
535	0.04763278881
536	0.04753197564
537	0.04750717743
538	0.04747426694
539	0.04733531217
540	0.04722766367
541	0.04718502597
542	0.04713151291
543	0.04700540256
544	0.04698973064
545	0.0468833698
546	0.04676066639
547	0.04667886232
548	0.04646866768
549	0.0464484031
550	0.04639344678
551	0.04637103611
552	0.04633881238
553	0.04630280614
554	0.04619382169
555	0.04611575184
556	0.04592774253
557	0.0458342905
558	0.0457793449
559	0.04570181159
560	0.04554787165
561	0.04549062436
562	0.04546649144
563	0.04544886121
564	0.04533953338
565	0.04530992253
566	0.04526767114
567	0.04517848448
568	0.0451002966
569	0.04500578761
570	0.04497583607
571	0.04490185991
572	0.04482339035
573	0.04470999566
574	0.04466986086
575	0.04458669134
576	0.04446152796
577	0.0444102522
578	0.04435558024
579	0.04432386084
580	0.04424825633
581	0.04411858345
582	0.04394778588
583	0.04389432915
584	0.04383761571
585	0.0438005713
586	0.04376259601
587	0.04372942531
588	0.04370344674
589	0.0436747775
590	0.04361723244
591	0.04353330373
592	0.04349648198
593	0.04341514469
594	0.04336025276
595	0.04327670767
596	0.04310766185
597	0.04306526023
598	0.04291750375
599	0.04287758088
600	0.04276839523
601	0.04269911368
602	0.04266754451
603	0.04264934019
604	0.0426163546
605	0.04252188316
606	0.04237494489
607	0.04234872756
608	0.04230694026
609	0.04228404135
610	0.04214388476
611	0.04197484163
612	0.04188309574
613	0.04181523062
614	0.04177336552
615	0.04165974012
616	0.04159009105
617	0.04156393274
618	0.04147610886
619	0.04136156063
620	0.04128951061
621	0.04113793675
622	0.0411099784
623	0.04106975775
624	0.0410277934
625	0.04097178549
626	0.04093148168
627	0.04080823906
628	0.04072159286
629	0.04069713802
630	0.04067954266
631	0.04063217013
632	0.04061738616
633	0.04057641975
634	0.04050779812
635	0.04048939261
636	0.04045836265
637	0.04042276417
638	0.04039785865
639	0.04027332032
640	0.04024383556
641	0.04012019322
642	0.04010561314
643	0.03998220151
644	0.03991787745
645	0.0398348984
646	0.0398017894
647	0.03978753928
648	0.03970151276
649	0.03966525436
650	0.03958854461
651	0.03954206807
652	0.03941096267
653	0.0392687029
654	0.03918808992
655	0.03916342584
656	0.03915230098
657	0.03899146669
658	0.0389256645
659	0.03878115669
660	0.03877036984
661	0.03863018374
662	0.03858322433
663	0.03857316716
664	0.03853667
665	0.03848751621
666	0.03847388041
667	0.03841224166
668	0.03837088895
669	0.03834843535
670	0.03832523062
671	0.03821070385
672	0.0381510422
673	0.03809059454
674	0.03803220982
675	0.0379975449
676	0.03786103937
677	0.03779942745
678	0.03768463779
679	0.03766551601
680	0.03764053538
681	0.03757369233
682	0.03755264443
683	0.03749765592
684	0.03743929534
685	0.03740208193
686	0.03732190085
687	0.0372096892
688	0.03719180143
689	0.03710494062
690	0.03694486551
691	0.03690757161
692	0.03686181134
693	0.03681317798
694	0.03669454411
695	0.03656674102
696	0.03654075708
697	0.03644560963
698	0.03639969913
699	0.03626491316
700	0.0361212772
701	0.03610883517
702	0.0358990912
703	0.03587351503
704	0.03582164104
705	0.03569085487
706	0.0356820022
707	0.03555129919
708	0.0354675529
709	0.03543329306
710	0.03536096136
711	0.03530558655
712	0.03528348705
713	0.0352588954
714	0.03521720736
715	0.03514996997
716	0.0350314595
717	0.03497757623
718	0.03486598427
719	0.03484615964
720	0.03478947571
721	0.03476260651
722	0.0347428409
723	0.03466987878
724	0.03465424979
725	0.03462665091
726	0.03459008132
727	0.03455878042
728	0.0345433875
729	0.03447860203
730	0.03439189948
731	0.03428110962
732	0.03423405364
733	0.03409751323
734	0.03399064269
735	0.03395754443
736	0.03386818608
737	0.03378533848
738	0.03369661323
739	0.03366075454
740	0.03357542819
741	0.03350283895
742	0.03344302707
743	0.03343255409
744	0.03335532123
745	0.03330555847
746	0.03325711021
747	0.03318964211
748	0.03317252963
749	0.0331439194
750	0.0331373255
751	0.03303559219
752	0.0329922275
753	0.03289492321
754	0.032872534
755	0.03278793195
756	0.03271721788
757	0.03269188045
758	0.03266682471
759	0.03260723817
760	0.03256541063
761	0.03251662435
762	0.03243781947
763	0.03241967417
764	0.03241007305
765	0.03239487059
766	0.03234239302
767	0.03229172622
768	0.03226505821
769	0.03218977294
770	0.03212723551
771	0.03210850808
772	0.03199944583
773	0.03195284858
774	0.03187459095
775	0.03180915092
776	0.03168801953
777	0.03167851229
778	0.03165734099
779	0.03156828042
780	0.0315615819
781	0.03151732122
782	0.03145422848
783	0.03143930234
784	0.03137992505
785	0.03132277165
786	0.0312997091
787	0.03121857033
788	0.03116464414
789	0.03112226398
790	0.03105477978
791	0.03104947354
792	0.03099071594
793	0.03097846169
794	0.03095759621
795	0.03090057158
796	0.03087842112
797	0.03081936038
798	0.03074254869
799	0.03072415123
800	0.03065978424
801	0.03060482256
802	0.03053797146
803	0.03048456034
804	0.03037314542
805	0.03033197781
806	0.03031855394
807	0.03031024316
808	0.03028777883
809	0.03025407966
810	0.03023282251
811	0.03017370811
812	0.03015986039
813	0.03007798389
814	0.02997996334
815	0.02997209788
816	0.02988726513
817	0.02987522013
818	0.02979736221
819	0.02978894412
820	0.02975975713
821	0.02974384914
822	0.02965747924
823	0.02955723211
824	0.02947539854
825	0.02943652189
826	0.02942751363
827	0.02941181757
828	0.02939353278
829	0.02935294998
830	0.02933747389
831	0.02928289851
832	0.02926474784
833	0.02922278081
834	0.02917427621
835	0.02915645551
836	0.02911873508
837	0.02907796718
838	0.02898502484
839	0.02893486506
840	0.0289236785
841	0.02888530619
842	0.02877593007
843	0.02876671792
844	0.02873068218
845	0.02865941548
846	0.02862438304
847	0.02858284791
848	0.02853224013
849	0.02848359335
850	0.02843637641
851	0.02839801751
852	0.02834636618
853	0.02829887294
854	0.02824839929
855	0.02823525709
856	0.0280764455
857	0.02805628019
858	0.02801174856
859	0.02797319383
860	0.02795925757
861	0.02794651509
862	0.02793077879
863	0.02789942155
864	0.02774719045
865	0.02769056554
866	0.02767303724
867	0.02766180508
868	0.02760745235
869	0.02759656624
870	0.02756024882
871	0.02751376156
872	0.02745160775
873	0.02742030148
874	0.02737438025
875	0.02735686537
876	0.02732085109
877	0.02727724228
878	0.02727085226
879	0.0272645454
880	0.02718216994
881	0.02712851738
882	0.02709974887
883	0.02708953342
884	0.02702987714
885	0.02694211764
886	0.02693779861
887	0.02692023276
888	0.02689602472
889	0.02687331359
890	0.02686111836
891	0.02683096562
892	0.0267956676
893	0.02675498286
894	0.02667633894
895	0.02664775017
896	0.02652929336
897	0.02643944677
898	0.02641079094
899	0.02637705689
900	0.02632995262
901	0.02631248066
902	0.02619284349
903	0.02606126327
904	0.02605173189
905	0.02603520153
906	0.02595888344
907	0.02592216095
908	0.02590395663
909	0.02587161487
910	0.02582939298
911	0.02582547903
912	0.02578344224
913	0.02576701651
914	0.02572172838
915	0.02566263277
916	0.02565339111
917	0.02562530668
918	0.02558481509
919	0.02556589451
920	0.02555396486
921	0.02551260947
922	0.02547999139
923	0.02547124871
924	0.02540538482
925	0.02536373165
926	0.02535411711
927	0.02528774084
928	0.02525706231
929	0.02519447123
930	0.0251729646
931	0.02515789896
932	0.02509494841
933	0.02505172858
934	0.02502649846
935	0.0250146949
936	0.02495447258
937	0.02491862194
938	0.02491226947
939	0.02485743924
940	0.02478638446
941	0.02473391762
942	0.02468297451
943	0.02464528627
944	0.02460521317
945	0.0245961754
946	0.02458578558
947	0.02454271866
948	0.02448369548
949	0.02443125278
950	0.02436979377
951	0.02435403869
952	0.02429441728
953	0.02422653338
954	0.02422150881
955	0.02420609443
956	0.02416916537
957	0.02412436012
958	0.02409389619
959	0.02405983755
960	0.02402192396
961	0.02400801453
962	0.02397382712
963	0.02394594657
964	0.02392635533
965	0.02389291369
966	0.0238388641
967	0.0238010766
968	0.02378625776
969	0.02377981945
970	0.02374683922
971	0.02371526737
972	0.02366771778
973	0.02362266841
974	0.02360821173
975	0.02356690462
976	0.02355895867
977	0.02353606244
978	0.02352145553
979	0.02343387845
980	0.02341078371
981	0.02338736436
982	0.02336823722
983	0.0233458185
984	0.02332305908
985	0.02329714221
986	0.02322073023
987	0.02319247947
988	0.02313026396
989	0.02310202125
990	0.02307560273
991	0.02301072068
992	0.0230004945
993	0.02293735617
994	0.02293263206
995	0.02292041805
996	0.02285724216
997	0.02282533766
998	0.02279010671
999	0.0227455107
